,admin1,admin2,lon_x,lat_y
1,Sud-Kivu,Uvira,29.0992013986014,-3.24031048951049
2,Kongo-Central,Moanda,12.3715,-5.9275
3,Nord-Kivu,Walikale,28.3734898305085,-1.26234576271186
4,Nord-Kivu,Beni,29.5136975113122,0.544365950226244
5,Sud-Kivu,Kalehe,28.8057563758389,-2.01018120805369
6,Tanganyika,Kongolo,27.0120533333333,-5.29848666666667
7,Tanganyika,Kalemie,29.1028,-5.76248684210526
8,Nord-Kivu,Rutshuru,29.3403914634146,-1.03867703252033
9,Haut-Uele,Dungu,28.0306737373737,4.17386868686869
10,Bas-Uele,Buta,24.7333,2.8
11,Nord-Kivu,Lubero,29.1791948717949,-0.18552358974359
12,Ituri,Aru,30.6400818181818,2.9146
13,Kasai,Luebo,21.4619285714286,-5.37142857142857
14,Ituri,Irumu,30.1342094594595,1.42737635135135
15,Haut-Lomami,Kamina,24.9906,-8.7386
16,Kasai,Mweka,21.73836,-4.87167
17,Ituri,Djugu,30.5467320945946,1.89487398648649
18,Sud-Kivu,Shabunda,27.5501839622641,-2.88825188679245
19,Kinshasa,Kinshasa,15.3209191489362,-4.32982127659574
20,Haut-Katanga,Pweto,28.8653333333333,-8.4681
21,Sud-Ubangi,Gemena,19.7667,3.25
22,Kasai-Central,Kananga,22.4177,-5.89876833333333
23,Sud-Kivu,Walungu,28.7271675,-2.6806125
24,Mai-Ndombe,Inongo,17.607775,-1.98485
25,Sud-Kivu,Fizi,28.8644783216783,-4.12774125874126
26,Bas-Uele,Ango,26.3963163934426,4.22338360655738
27,Sud-Kivu,Bukavu,28.8665844262295,-2.50050409836066
28,Nord-Kivu,Masisi,28.8705809027778,-1.34396875
29,Lualaba,Kapanga,23.15,-7.8333
30,Kasai-Oriental,Mbuji-Mayi,23.6,-6.15
31,Tshopo,Kisangani,25.1890689655172,0.515213793103448
32,Nord-Kivu,Goma,29.2324090425532,-1.69164308510638
33,Haut-Katanga,Lubumbashi,27.4746149425287,-11.6558908045977
34,Equateur,Mbandaka,18.2711,0.0468
35,Bas-Uele,Bondo,23.8093384615385,4.19597692307692
36,Haut-Uele,Faradje,29.7088,3.7352
37,Tanganyika,Nyunzu,28.0052333333333,-5.7786
38,Tshopo,Basoko,23.6084166666667,1.28955
39,Nord-Kivu,Butembo,29.2932024793388,0.144307438016529
40,Sud-Kivu,Mwenga,28.4505564102564,-3.4169264957265
41,Nord-Kivu,Nyiragongo,29.2677694915254,-1.54493559322034
42,Tanganyika,Manono,27.1158571428571,-6.79465714285714
43,Kongo-Central,Boma,13.0503,-5.8468
44,Kasai,Kamonia,20.872372972973,-6.69964054054054
45,Maniema,Kabambare,27.70898,-4.4686
46,Ituri,Mambasa,29.0864675,1.15997125
47,Nord-Ubangi,Gbadolite,21.0028,4.279
48,Sud-Kivu,Kabare,28.7725512195122,-2.35702195121951
49,Haut-Katanga,Kipushi,27.3609333333333,-11.5866666666667
50,Tanganyika,Moba,29.818025,-7.75345
51,Maniema,Kibombo,25.83,-3.28
52,Lualaba,Lubudi,26.495825,-10.645825
53,Lualaba,Kolwezi,25.5373909090909,-10.7082272727273
54,Kasai-Central,Dimbelenge,22.8271,-5.8568
55,Kasai-Central,Dibaya,22.7952642857143,-6.22853571428571
56,Kongo-Central,Kimvula,16.0167,-5.4833
57,Maniema,Pangi,26.37045,-2.91575
58,Sud-Kivu,Idjwi,29.0547625,-2.0670625
59,Ituri,Mahagi,30.8673272727273,2.28213636363636
60,Tshopo,Opala,24.4722333333333,-0.772233333333333
